"filename", "language", "C++", "XML", "comment", "blank", "total"
"g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.h", "C++", 20, 0, 39, 12, 71
"g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.hpp", "C++", 12, 0, 0, 5, 17
"g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.vcxproj", "XML", 0, 319, 0, 0, 319
"g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.h", "C++", 54, 0, 84, 13, 151
"g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.hpp", "C++", 165, 0, 38, 52, 255
"g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.h", "C++", 5, 0, 0, 2, 7
"g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.hpp", "C++", 2, 0, 0, 2, 4
"g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\dynamic_program.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\STL.h", "C++", 50, 0, 17, 17, 84
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\assert.h", "C++", 57, 0, 1, 12, 70
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base.h", "C++", 18, 0, 13, 10, 41
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base_class.h", "C++", 26, 0, 7, 7, 40
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\bit.h", "C++", 129, 0, 39, 41, 209
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\boost.h", "C++", 3, 0, 0, 2, 5
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\mpl.h", "C++", 20, 0, 0, 10, 30
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\property_tree.h", "C++", 3, 0, 0, 2, 5
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\concepts.h", "C++", 42, 0, 0, 19, 61
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\config.h", "C++", 25, 0, 7, 12, 44
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\defined.h", "C++", 124, 0, 26, 47, 197
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\log.h", "C++", 190, 0, 3, 25, 218
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\memory_reinterpreter.h", "C++", 29, 0, 0, 10, 39
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\bitmap.h", "C++", 45, 0, 0, 9, 54
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\algorithm.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\concept.h", "C++", 7, 0, 0, 1, 8
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\data_type.h", "C++", 20, 0, 2, 6, 28
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\iterator.h", "C++", 25, 0, 7, 9, 41
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\meta_function.h", "C++", 31, 0, 2, 11, 44
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\same.h", "C++", 13, 0, 0, 8, 21
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\sequence.h", "C++", 28, 0, 1, 7, 36
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\defined.h", "C++", 0, 0, 0, 1, 1
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\find.h", "C++", 35, 0, 19, 15, 69
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\function.h", "C++", 32, 0, 32, 12, 76
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl.h", "C++", 13, 0, 0, 5, 18
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl_macro.h", "C++", 21, 0, 3, 9, 33
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\at.h", "C++", 6, 0, 0, 6, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\sequence.h", "C++", 16, 0, 0, 6, 22
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\spread.h", "C++", 35, 0, 7, 9, 51
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\struct.h", "C++", 79, 0, 12, 26, 117
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\var.h", "C++", 38, 0, 0, 10, 48
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\vars.h", "C++", 13, 0, 0, 6, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\template_extraction.h", "C++", 35, 0, 7, 13, 55
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\utility.h", "C++", 18, 0, 0, 4, 22
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\space_transform.h", "C++", 7, 0, 0, 6, 13
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\template_mate.h", "C++", 25, 0, 0, 4, 29
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_info.h", "C++", 114, 0, 5, 17, 136
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_trait.h", "C++", 7, 0, 0, 8, 15
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\utility.h", "C++", 23, 0, 0, 8, 31
"g:\Projects\C_CPP\Clion\NGS\include\NGS\base\version.h", "C++", 89, 0, 13, 40, 142
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\Interface.h", "C++", 20, 0, 0, 9, 29
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus.h", "C++", 7, 0, 0, 2, 9
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus_base.h", "C++", 34, 0, 0, 16, 50
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\i2c\I2C.h", "C++", 99, 0, 0, 22, 121
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\serial_port\serial_port.h", "C++", 19, 0, 0, 10, 29
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\spi\SPI.h", "C++", 19, 0, 0, 9, 28
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\uart\UART.h", "C++", 19, 0, 0, 10, 29
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\usb\UVC.h", "C++", 11, 0, 0, 9, 20
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\embedded.h", "C++", 6, 0, 0, 4, 10
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\GPIO.h", "C++", 46, 0, 0, 14, 60
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\IO.h", "C++", 11, 0, 0, 9, 20
"g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\PWM.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\byte_array.h", "C++", 69, 0, 0, 10, 79
"g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color.h", "C++", 375, 0, 8, 62, 445
